,time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
128,2024-10-05T12:50:23.838Z,53.0819,-166.98,35.0,5.1,mwr,64.0,135.0,0.649,0.63,us,us6000nwq0,2024-10-08T13:00:38.277Z,"93 km SSW of Unalaska, Alaska",earthquake,3.92,1.931,0.066,22.0,reviewed,us,us
130,2024-10-05T12:08:12.354Z,37.6351,-31.6445,10.0,4.8,mb,66.0,83.0,4.855,0.89,us,us6000nwpm,2024-10-05T12:51:47.040Z,"197 km SSW of Lajes das Flores, Portugal",earthquake,11.06,1.872,0.067,69.0,reviewed,us,us
131,2024-10-05T11:45:30.324Z,-17.3967,-173.4475,40.756,5.4,mb,62.0,50.0,3.739,1.37,us,us6000nwpi,2024-10-07T08:31:16.314Z,"150 km NNE of Neiafu, Tonga",earthquake,8.71,6.769,0.034,300.0,reviewed,us,us
133,2024-10-05T11:19:10.520Z,-18.7626,-177.5599,371.448,4.5,mb,49.0,79.0,3.57,0.66,us,us6000nwpf,2024-10-06T08:06:27.040Z,Fiji region,earthquake,11.85,7.842,0.081,44.0,reviewed,us,us
134,2024-10-05T10:42:25.088Z,-19.3469,-172.5407,10.0,4.9,mb,48.0,87.0,2.484,0.65,us,us6000nwpd,2024-10-05T11:21:19.040Z,"170 km ESE of Neiafu, Tonga",earthquake,8.36,1.859,0.087,41.0,reviewed,us,us
135,2024-10-05T08:25:18.197Z,-16.3864,167.8638,206.409,4.8,mb,25.0,200.0,5.355,0.62,us,us6000nwp2,2024-10-05T08:59:23.040Z,"57 km ESE of Lakatoro, Vanuatu",earthquake,14.8,9.857,0.1,31.0,reviewed,us,us
137,2024-10-05T06:45:12.485Z,54.2938,-161.7133,31.075,4.9,mb,97.0,145.0,1.225,0.96,us,us6000nwnq,2024-10-05T19:12:35.077Z,"93 km SSE of King Cove, Alaska",earthquake,5.9,6.267,0.053,112.0,reviewed,us,us
140,2024-10-05T04:39:28.342Z,16.7077,-86.0555,10.0,4.1,mb,75.0,35.0,2.885,1.14,us,us6000nwnd,2024-10-05T05:12:13.738Z,"33 km NNW of Guanaja, Honduras",earthquake,7.71,1.976,0.08,44.0,reviewed,us,us
141,2024-10-05T03:29:26.129Z,32.3247,56.4756,10.0,4.1,mb,20.0,128.0,7.356,0.66,us,us6000nwn6,2024-10-05T03:48:55.040Z,"121 km NNW of Rāvar, Iran",earthquake,7.84,1.959,0.101,27.0,reviewed,us,us
145,2024-10-04T22:22:10.161Z,2.2567,128.3077,156.803,4.5,mb,34.0,109.0,1.749,0.51,us,us6000nwm9,2024-10-05T01:52:45.040Z,"67 km NNE of Tobelo, Indonesia",earthquake,12.03,6.845,0.113,23.0,reviewed,us,us
147,2024-10-04T21:21:11.974Z,4.9457,126.2526,102.506,4.7,mb,55.0,107.0,2.214,0.64,us,us6000nwls,2024-10-04T21:38:21.040Z,"101 km ESE of Sarangani, Philippines",earthquake,8.5,6.154,0.08,47.0,reviewed,us,us
148,2024-10-04T21:17:00.889Z,33.76,137.2026,360.0,4.4,mb,67.0,77.0,1.592,0.73,us,us6000nwlq,2024-10-04T21:46:12.040Z,"72 km SSE of Shima, Japan",earthquake,10.02,8.004,0.052,107.0,reviewed,us,us
149,2024-10-04T21:15:10.287Z,-19.8696,-175.1116,100.973,4.8,mb,20.0,217.0,1.506,0.53,us,us6000nwlr,2024-10-04T21:31:57.040Z,"79 km W of Pangai, Tonga",earthquake,15.13,10.553,0.128,19.0,reviewed,us,us
155,2024-10-04T14:48:06.319Z,9.958,126.4051,34.82,4.7,mb,42.0,116.0,2.984,0.66,us,us6000nwjp,2024-10-04T15:42:18.040Z,"35 km ENE of Pilar, Philippines",earthquake,11.78,5.107,0.097,32.0,reviewed,us,us
156,2024-10-04T13:58:58.685Z,-55.5383,-124.7457,10.0,5.3,mww,82.0,87.0,28.741,0.52,us,us6000nwkv,2024-10-04T20:32:09.040Z,southern East Pacific Rise,earthquake,9.19,1.802,0.11,8.0,reviewed,us,us
157,2024-10-04T13:49:01.187Z,70.6291,-14.7306,10.0,5.2,mww,93.0,46.0,6.415,0.39,us,us6000nwja,2024-10-04T14:06:42.040Z,"223 km W of Olonkinbyen, Svalbard and Jan Mayen",earthquake,8.69,1.878,0.06,27.0,reviewed,us,us
160,2024-10-04T12:57:59.197Z,-20.3044,-69.9849,52.492,4.6,mb,17.0,86.0,0.141,0.76,us,us6000nwii,2024-10-05T01:33:30.402Z,"13 km ESE of Alto Hospicio, Chile",earthquake,5.45,5.937,0.206,7.0,reviewed,us,us
161,2024-10-04T11:47:46.121Z,70.7284,-14.8202,10.0,4.8,mb,37.0,61.0,6.492,0.83,us,us6000nwi9,2024-10-04T12:22:47.040Z,"224 km W of Olonkinbyen, Svalbard and Jan Mayen",earthquake,9.06,1.905,0.074,58.0,reviewed,us,us
162,2024-10-04T11:42:16.224Z,70.7049,-14.7924,10.0,5.1,mww,56.0,54.0,6.475,0.75,us,us6000nwi8,2024-10-04T15:49:12.040Z,"224 km W of Olonkinbyen, Svalbard and Jan Mayen",earthquake,8.63,1.858,0.103,9.0,reviewed,us,us
165,2024-10-04T08:58:49.536Z,70.7071,-14.7766,10.0,4.9,mww,41.0,64.0,6.479,1.04,us,us6000nwgt,2024-10-04T09:40:55.040Z,"223 km W of Olonkinbyen, Svalbard and Jan Mayen",earthquake,9.74,1.914,0.065,23.0,reviewed,us,us
166,2024-10-04T08:53:02.569Z,-5.4677,34.1883,9.822,4.7,mb,34.0,70.0,5.286,0.61,us,us6000nwgr,2024-10-04T15:38:02.403Z,"41 km NW of Itigi, Tanzania",earthquake,10.52,3.97,0.11,25.0,reviewed,us,us
169,2024-10-04T06:35:17.860Z,-21.5449,-68.7254,115.671,4.3,mb,34.0,62.0,0.542,0.93,us,us6000nwgd,2024-10-04T07:34:27.040Z,"60 km SW of Ollagüe, Chile",earthquake,6.87,6.961,0.104,26.0,reviewed,us,us
170,2024-10-04T06:32:16.794Z,-4.8477,133.8305,10.0,4.6,mb,14.0,93.0,2.482,1.28,us,us6000nwic,2024-10-06T05:23:02.040Z,"147 km NE of Tual, Indonesia",earthquake,7.17,1.83,0.146,14.0,reviewed,us,us
172,2024-10-04T05:57:19.704Z,37.9049,33.2863,10.0,4.5,mb,50.0,65.0,1.998,0.78,us,us6000nwgc,2024-10-04T07:11:50.040Z,"31 km NW of Karapınar, Turkey",earthquake,5.1,1.891,0.104,27.0,reviewed,us,us
173,2024-10-04T03:24:52.321Z,70.6423,-14.3397,10.0,4.5,mb,32.0,72.0,6.486,0.91,us,us6000nwfs,2024-10-04T03:44:07.040Z,"208 km W of Olonkinbyen, Svalbard and Jan Mayen",earthquake,7.82,1.684,0.127,18.0,reviewed,us,us
174,2024-10-04T03:06:29.685Z,52.1423,178.0008,171.635,4.5,mb,117.0,88.0,0.399,0.74,us,us6000nwfn,2024-10-04T03:51:00.040Z,"Rat Islands, Aleutian Islands, Alaska",earthquake,9.74,5.366,0.056,94.0,reviewed,us,us
179,2024-10-04T01:49:12.804Z,58.6125,-154.7158,2.6,4.3,ml,,,,0.61,ak,ak024crsafyp,2024-10-04T18:46:40.290Z,"92 km S of Kokhanok, Alaska",earthquake,,0.2,,,reviewed,ak,ak
182,2024-10-03T20:53:43.674Z,2.7903,128.1927,157.794,4.8,mb,51.0,123.0,2.168,0.82,us,us6000nwdx,2024-10-03T21:07:44.040Z,"119 km N of Tobelo, Indonesia",earthquake,9.29,7.775,0.08,48.0,reviewed,us,us
183,2024-10-03T20:10:01.902Z,70.7292,-14.7572,10.0,4.6,mb,33.0,62.0,6.502,0.35,us,us6000nwdn,2024-10-03T20:38:05.040Z,"222 km W of Olonkinbyen, Svalbard and Jan Mayen",earthquake,9.52,1.918,0.111,24.0,reviewed,us,us
185,2024-10-03T20:05:13.256Z,5.6965,126.1575,110.731,4.8,mb,51.0,83.0,1.48,0.81,us,us6000nwde,2024-10-03T20:23:27.040Z,"62 km ESE of Caburan, Philippines",earthquake,9.54,6.742,0.081,47.0,reviewed,us,us
186,2024-10-03T19:30:49.870Z,-17.7647,-178.3819,533.187,4.5,mb,65.0,33.0,3.446,0.9,us,us6000nwd5,2024-10-03T19:47:28.040Z,"246 km E of Levuka, Fiji",earthquake,11.68,8.26,0.043,161.0,reviewed,us,us
190,2024-10-03T17:39:44.449Z,-37.214,52.1688,10.0,4.9,mb,64.0,44.0,24.104,0.39,us,us6000nwc7,2024-10-03T18:00:44.040Z,South Indian Ocean,earthquake,8.56,1.859,0.07,63.0,reviewed,us,us
192,2024-10-03T16:15:38.942Z,12.7422,143.3985,91.368,4.6,mb,64.0,48.0,1.661,0.52,us,us6000nwbq,2024-10-03T16:56:24.040Z,"149 km WSW of Merizo Village, Guam",earthquake,9.11,6.101,0.056,96.0,reviewed,us,us
193,2024-10-03T14:42:18.381Z,-22.7305,-176.8602,167.346,4.9,mb,45.0,83.0,2.221,0.61,us,us6000nwau,2024-10-03T15:13:36.040Z,"236 km SW of Houma, Tonga",earthquake,14.54,6.962,0.085,43.0,reviewed,us,us
195,2024-10-03T13:54:20.796Z,51.0014,-176.2227,38.918,4.5,mb,49.0,195.0,0.928,0.81,us,us6000nwa7,2024-10-03T18:32:08.088Z,"101 km SSE of Adak, Alaska",earthquake,6.19,7.717,0.054,103.0,reviewed,us,us
